Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-21,"August 16, 1947",2023,https://boxd.it/51VeRB,2,,torrent,2023-10-21
2023-10-28,Chandramukhi 2,2023,https://boxd.it/54coZH,1,Yes,,2023-10-28
2023-10-30,The Nun II,2023,https://boxd.it/552t1r,,,torrent,2023-10-29
2023-11-06,Leo,2023,https://boxd.it/57k4NT,,,medavakkam kumaran,2023-10-31
2023-11-06,Pachuvum Athbhuthavilakkum,2023,https://boxd.it/57k0TD,4,,torrent,2023-11-05
2023-11-08,2018,2023,https://boxd.it/57TNad,,,torrent,2023-11-06
2023-11-10,Kumbalangi Nights,2019,https://boxd.it/58F4cJ,,,torrent,2023-11-08
2023-11-11,Life,2017,https://boxd.it/58LAr9,,,torrent,2023-11-10
2023-11-12,Jigarthanda DoubleX,2023,https://boxd.it/597qPJ,,,madipakkam kumaran,2023-11-11
2023-11-14,Irugapatru,2023,https://boxd.it/59ZPlx,,,torrent,2023-11-13
2023-11-15,Angamaly Diaries,2017,https://boxd.it/5a6MP9,,,torrent,2023-11-14
2023-11-19,Partner,2023,https://boxd.it/5bbV5j,,,torrent,2023-11-17
2023-12-10,Aalavandhan,2001,https://boxd.it/5inP3N,5,,"rajendra, theater",2023-12-09
